date,axis_Equity_US,axis_Equity_ExUS,axis_Rates,axis_Credit,axis_USD,axis_Commodities,axis_Metals,axis_Miners,axis_Vol,axis_Sector_Tech,axis_Sector_Fin,axis_Sector_Health,axis_Sector_ConsDisc,axis_Sector_ConsStap,axis_Sector_Ind,axis_Sector_Energy,axis_Sector_Materials,axis_Sector_Utilities,axis_Sector_Comm,axis_Sector_RealEstate,axis_MegaCap_AI,axis_Semis,axis_Software_Cloud,axis_DataCenter_Infra,axis_Cyber,axis_Defense,axis_Space,axis_Robotics,axis_Grid_Power,axis_Quantum,axis_Crypto,axis_Nuclear_Uranium,axis_Critical_Minerals,axis_Clean_Solar,axis_Clean_Wind,axis_Clean_Broad,axis_Genomics_Bio,axis_Drones_Autonomy
2025-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-26,-0.0002182074196869641,-0.00011052951824511364,0.0014073912043974794,-0.0001086974923205554,-0.00016055483333223545,0.0005857456659660476,-0.00019535029418800803,-9.439100990167651e-05,-8.569272498977502e-05,-7.849492261308608e-05,3.061301844485401e-05,0.00014482023422292164,-1.5732465246480482e-05,-9.140924054264553e-05,1.0894803375406513e-05,9.892555480010715e-05,3.446773157051461e-05,-0.00014782473437756593,-2.6320590419172647e-05,9.251927169120976e-05,-6.46967637719485e-05,-0.0002364132083320674,-0.00013604165137457927,7.708139793508884e-06,-4.3078475316611005e-05,5.06408965589922e-06,-0.00024172097162984433,-0.00018761317610004922,-0.0001408377520446757,0.0004794900436045255,5.842371895821388e-05,-0.0005059347283358454,3.81755847718393e-05,8.94600022272089e-07,-0.00011127152204428863,-0.00011311414690372848,0.00019491462533747578,-7.612064489536376e-05
2025-03-27,-0.00020622971925768127,-0.00013595946016860437,0.0013610964881672952,-6.644655179713519e-05,-0.00016328078078392915,0.0005516654672471973,-0.0002839564491739029,-0.0001339348469337263,-8.2684109179926e-05,-7.100790149298166e-05,2.3950602930705128e-05,0.0001348139831325505,-1.3951336087814372e-05,-8.063563113376763e-05,1.3778797542389836e-05,0.0001085398685029198,2.2115314607755528e-05,-0.00014374103158501874,-2.667253498918002e-05,8.491033316120235e-05,-4.4436018807103064e-05,-0.0002217637820838928,-0.0001317497469213565,2.632882415291077e-06,-5.4206449887238e-05,8.679694241170625e-06,-0.00021232662461055494,-0.00018614552404698221,-0.0001275365977671849,0.0004251369444676546,8.919380973612945e-05,-0.00047102601995051806,5.433527386368868e-05,2.149663771116748e-05,-0.00011150962847908063,-7.488022859212453e-05,0.0001755375938238951,-3.3802717821315015e-05
2025-03-28,-0.0001847785006907911,-0.00015443024637579287,0.001285911734526123,-1.4332642251884861e-05,-0.00016196810539405507,0.0005149977069696569,-0.00037575081798365157,-0.00015256818579391222,-7.599045523017698e-05,-5.9293325423547284e-05,1.0161511751092037e-05,0.00010624989344013362,-1.7679958051127836e-05,-6.573525730695816e-05,1.6380127795647266e-05,0.0001161116323248502,1.553584915517641e-05,-0.0001364701476410427,-2.4253311889647968e-05,6.829347773002098e-05,-3.0808406659237934e-05,-0.00019010425128050774,-0.00012566184580858647,-9.764345435250128e-06,-5.785590757190695e-05,1.0105642280107382e-05,-0.00017538236895091073,-0.000175978603200284,-0.00010480444766355784,0.00038526709905894075,8.59526694713875e-05,-0.00042545068716478906,5.8693082892000354e-05,3.977136263930677e-05,-0.00011177265802262014,-3.854590088365593e-05,0.00016036052166740262,-4.411935027952359e-06
2025-03-29,-0.00016399213882191456,-0.0001665430455077433,0.0012168785922878466,5.067740415302443e-05,-0.0001591019577067774,0.00046319632075077195,-0.0004623361294034621,-0.00016799084849382647,-6.923782403380854e-05,-4.88426336545589e-05,2.2445351863587356e-06,7.76918993164627e-05,-1.955288000953437e-05,-5.7473582612598204e-05,2.0513287520796764e-05,0.00012042378730071592,1.2579792469147468e-05,-0.00013368615869665753,-1.6526145493549223e-05,4.680885242148439e-05,-5.289621451558644e-06,-0.00016539970650456104,-0.00012057988898175663,-2.9505057182263684e-05,-6.394067844399603e-05,1.5269199484169454e-05,-0.00013054747411539664,-0.00016373364967971237,-9.132805330084752e-05,0.0003246057847004628,9.111121377828678e-05,-0.000378699613263903,7.071956957001456e-05,5.426528976457322e-05,-0.00011008911346190314,-8.603720919924527e-06,0.0001354988468949779,3.0515546141159344e-05
2025-03-30,-0.0001364200398842355,-0.00017448326524771134,0.0011101523337204203,0.0001175108913158807,-0.0001502998475563876,0.00039573049001874363,-0.0005375958904908563,-0.00018011455841649218,-5.994690186778087e-05,-3.637155522832051e-05,-7.551090908373911e-06,4.6389041681875446e-05,-2.1255352694130326e-05,-4.749368792344046e-05,2.4917880726714085e-05,0.00012258970341796056,9.49778970394536e-06,-0.00012414629214939983,-8.551469267391482e-06,2.4352337965901406e-05,1.566393495043559e-05,-0.00013409235781040898,-0.00011169994004613977,-4.7383371096539216e-05,-6.805257569411622e-05,1.9831877388888953e-05,-7.971907650880659e-05,-0.00014545181183450975,-7.154727595046937e-05,0.00025530842088714294,8.165275372045219e-05,-0.00031565823818426785,7.69066545711814e-05,6.717822635033301e-05,-0.00010550986706708471,2.169930926433995e-05,0.00010656368448876003,6.739913565388986e-05
2025-03-31,-0.00011847936660277021,-0.00016985914827936618,0.0010050548039513335,0.00016816541328003052,-0.00014796448198008068,0.00033691705530568164,-0.0005757784376153964,-0.00016886946160048116,-5.380014855560896e-05,-2.869334570731818e-05,9.314735658244071e-07,3.8641041609522426e-05,-1.5823818896503634e-05,-5.589802877634623e-05,3.22932507418589e-05,0.00010552472218889032,1.3724622677227052e-05,-0.00013398661210383463,8.417621534183376e-06,1.8307072808122642e-05,6.963190121160529e-05,-0.00011153702757545817,-0.00010137623551821025,-6.276981837594852e-05,-6.512856944947987e-05,2.525667462341671e-05,-3.7302694584956543e-05,-0.00013509543721176097,-7.910257508713635e-05,0.00016567411090524483,9.561954273401075e-05,-0.000307035075474263,0.00010112694507543799,7.061301141215937e-05,-0.00010068831448363065,3.952282656213939e-05,0.00010921644258285878,6.455006510900849e-05
